Month,PeriodKey,SpreadsheetId,RolledOutAt,OpeningStockKg,OpeningStockRate,OpeningStockAmount,PurchasesKg,PurchasesRate,PurchasesAmount,SalesKg,SalesRate,SalesAmount,ClosingStockKg,ClosingStockRate,ClosingStockAmount,GrossCommissionPrev,GrossCommissionCm,GrossCommissionTotal,DaaluPrev,DaaluCm,DaaluTotal,ExpensesPrev,ExpensesCm,ExpensesTotal,NetProfitCm,NetProfitTotal,LendingToCustomers,CashBalance,TotalCapital
2022-11,2022_11,1hrs0IxXvTS146ukGPyQ3zts2dsgnq_vAQYiR4TQUuGo,2022-11-28T23:59:59.000Z,0,0,0,108680,8.65,940199,54209,9.9,536753,54471,8.65,471232.79,0,0,0,0,0,0,0,0,0,0,0,527559,72366,1392591.79
2022-12,2022_12,1DBrYUOC5BMFdixLhXCJMNlfnVyver5xUNVCT-UHjniE,2022-12-28T23:59:59.000Z,54471,8.65,471174.15,76405,8.05,615080,61564,9.9,609293.28,69312,8.3,575280.78,0,0,0,0,0,0,0,0,0,0,0,677025.13,68191,1646105.91
2023-01,2023_01,1F9UiYHXrCsdU4CtB5Ynb4tBV1krwuNJIPFBsJ0k16_Q,2023-01-28T23:59:59.000Z,69312,8.65,599548.8,111700,8.94,998740,158336,10.02,1586733.18,22408,8.83,197856.8,0,0,0,0,0,0,0,0,0,0,0,1342174.18,154579.76,1933830.98
2023-02,2023_02,1Kz9pnMoWloe16T7D15z75LnDPlYdhaQedJA8Cy1n52M,2023-02-28T23:59:59.000Z,22408,8.65,193829.2,176240,8.96,1578390,162045,10.35,1676843,33603,8.92,299785.96,0,0,0,0,0,0,0,0,0,0,0,1705659,92594.8,2399244.96
2023-03,2023_03,15g-2mDZVxRmjfgbhL4c13bOTruAR_ubNg6DGXboe9n0,2023-03-28T23:59:59.000Z,33603,8.92,299738.76,186285,8.74,1627750,180129,9.72,1751299,39659,8.77,347641.88,0,0,0,0,0,0,0,0,0,0,0,1913223,-54166.76,2718664.88
